UNIDADE,DATA,FATURAMENTO ORÇADO (R$),FATURAMENTO REAL(R$),FECHAMENTO ORÇADO (R$),FECHAMENTO REAL (R$)
Campo Grande,Janeiro,189756.1,206643.11,64389.87,87749.21
Campo Grande,Fevereiro,171035.91,173757.21,50850.69,62081.59
Campo Grande,Março,210050.07,214841.98,69747.95,79191.24
Campo Grande,Abril,193801.2,159846.47,56398.44,35021.11
Campo Grande,Maio,211305.99,171900.75,74687.79,46380.15
Campo Grande,Junho,214148.33,192801.38,80566.4,70015.49
Campo Grande,Julho,182273.54,175289.78,41178.66,47787.52
Campo Grande,Agosto,168505.91,152833.62,37984.87,34097.92
Campo Grande,Setembro,207520.07,174963.6,67885.91,57396.82
Campo Grande,Outubro,191271.2,150038.52,49628.69,27357.77
Campo Grande,Novembro,208775.99,145865.78,69317.11,15916.03
Campo Grande ,Dezembro,211618.33,157533.45,90352.48,45364.07
Duque de Caxias,Janeiro,107467.35,107116.39,16120.62,22228.74
Duque de Caxias,Fevereiro,96894.56,81624.81,14870.39,1862.57
Duque de Caxias,Março,109026.54,95804.34,18160.31,9320.46
Duque de Caxias,Abril,119223.62,83617.59,26852.52,-7286.79
Duque de Caxias,Maio,112174.55,78092.71,20396.24,-9222.12
Duque de Caxias,Junho,118394.54,80821.87,28580.99,-1813.81
Duque de Caxias,Julho,93772.55,79267.25,2707.68,-13878.9
Duque de Caxias,Agosto,91398.93,74627.66,1825.0,-2489.71
Duque de Caxias,Setembro,102600.88,75722.12,15756.32,2116.97
Duque de Caxias,Outubro,105951.93,71004.25,14250.41,-7031.99
Duque de Caxias,Novembro,96997.43,73109.66,9615.34,-7105.3
Duque de Caxias,Dezembro,93577.18,71593.59,1600.56,-6204.12
Irajá,Janeiro,129927.85,140573.08,24205.14,42327.37
Irajá,Fevereiro,111858.01,89017.67,20576.77,2989.03
Irajá,Março,144156.44,125310.25,36455.51,30949.54
Irajá,Abril,140562.37,106903.11,36250.19,10428.5
Irajá,Maio,148243.25,105060.24,46825.5,9522.42
Irajá,Junho,148765.08,125743.79,48761.71,29482.18
Irajá,Julho,106958.43,113795.92,1317.04,1838.55
Irajá,Agosto,112058.42,100303.7,4787.64,485.67
Irajá,Setembro,109429.65,118748.58,4255.75,20738.48
Irajá,Outubro,117571.94,103210.75,9337.48,-3895.99
Irajá,Novembro,130126.47,100675.06,24564.03,-6916.26
Irajá,Dezembro,129523.98,107737.37,13706.73,8248.03
Itaguaí,Janeiro,90699.65,97553.93,20822.56,31430.58
Itaguaí,Fevereiro,84059.96,77879.78,13643.13,18120.53
Itaguaí,Março,94678.6,84574.57,15014.6,17203.15
Itaguaí,Abril,104554.35,80544.75,22948.36,18172.45
Itaguaí,Maio,105717.6,75887.81,25418.37,9142.73
Itaguaí,Junho,115330.79,86064.17,36191.25,20192.0
Itaguaí,Julho,72926.42,78825.05,960.01,14692.18
Itaguaí,Agosto,86254.1,71659.2,12530.42,7064.24
Itaguaí,Setembro,84732.12,85839.39,11256.25,23461.77
Itaguaí,Outubro,83450.22,70760.64,9894.31,9901.79
Itaguaí,Novembro,82659.46,61595.75,32257.39,-6554.73
Itaguaí,Dezembro,81159.46,54724.0,19779.07,-10466.55
Nova Iguaçu,Janeiro,139526.17,149028.54,3629.28,15131.38
Nova Iguaçu,Fevereiro,132406.83,114813.87,3042.72,-13966.55
Nova Iguaçu,Março,154621.29,128950.73,9256.53,-10505.64
Nova Iguaçu,Abril,155285.27,130710.36,5388.03,-5516.36
Nova Iguaçu,Maio,155029.38,100671.6,9007.41,-32487.65
Nova Iguaçu,Junho,154877.53,121301.69,6752.51,-9854.63
Nova Iguaçu,Julho,120335.98,120361.58,-16682.31,-12715.83
Nova Iguaçu,Agosto,106888.44,104834.98,-36748.83,-22990.48
Nova Iguaçu,Setembro,123075.56,129571.59,-11914.8,2248.8
Nova Iguaçu,Outubro,97324.99,106631.7,-41417.71,-17434.6
Nova Iguaçu,Novembro,118171.94,96966.8,-15851.05,-23385.62
Nova Iguaçu,Dezembro,121645.1,89836.89,-12856.49,-16292.19
Santa Cruz ,Janeiro,135333.35,158220.19,31494.04,58845.64
Santa Cruz ,Fevereiro,143734.74,121623.79,40002.54,23920.61
Santa Cruz ,Março,181254.84,150120.52,62913.16,38560.25
Santa Cruz ,Abril,190010.4,132654.76,68228.64,17779.42
Santa Cruz ,Maio,212409.01,128804.2,85829.65,13964.51
Santa Cruz ,Junho,214769.41,140957.2,89706.52,33444.23
Santa Cruz ,Julho,136478.27,143716.27,23009.58,24435.14
Santa Cruz ,Agosto,148834.48,145483.92,34101.32,29702.13
Santa Cruz ,Setembro,139802.91,150858.72,29858.71,49449.09
Santa Cruz ,Outubro,139591.98,140616.45,20397.4,25364.22
Santa Cruz ,Novembro,144065.74,112771.39,31455.86,4010.51
Santa Cruz ,Dezembro,140013.37,118130.82,27416.07,22035.99
Vilar dos Teles,Janeiro,85586.69,92783.75,2236.22,18846.42
Vilar dos Teles,Fevereiro,88800.0,74945.77,14110.32,2862.54
Vilar dos Teles,Março,103088.45,81577.21,21586.37,-3949.23
Vilar dos Teles,Abril,112913.98,76629.11,26063.89,2240.27
Vilar dos Teles,Maio,124300.19,66510.65,40207.72,70.63
Vilar dos Teles,Junho,126236.52,75403.73,41467.34,4358.9
Vilar dos Teles,Julho,76707.88,66739.32,2677.76,1005.16
Vilar dos Teles,Agosto,75423.61,68182.8,507.32,4459.97
Vilar dos Teles,Setembro,93832.96,71707.95,17236.25,13913.9
Vilar dos Teles,Outubro,96735.1,83096.81,15681.21,4567.3
Vilar dos Teles,Novembro,93474.52,66424.99,13350.33,-5115.41
Vilar dos Teles,Dezembro,79645.44,58997.97,8161.32,-15861.35
